time,Total,White,Black,Latino,Asian,Native
2000,788,398,243,116,18,13
2001,861,474,226,136,22,3
2002,922,494,248,152,22,6
2003,979,486,305,158,22,8
2004,972,483,263,200,24,2
2005,1095,552,300,208,24,11
2006,1204,592,355,225,23,9
2007,1184,603,336,220,19,6
2008,1144,561,352,208,15,8
2009,1194,594,355,211,25,9
2010,1236,628,362,211,23,12
2011,1374,683,430,228,24,9
2012,1437,697,451,249,24,16
2013,1739,849,515,329,35,11
2014,1676,836,478,310,33,19
2015,1565,819,432,258,33,23
2016,1545,831,435,223,28,28
2017,1669,839,473,299,24,34
2018,1709,889,446,312,36,26
2019,1671,838,487,286,44,16
