year,name,n
0,	Majority,	0
1,	Majority,	0.00025412
2,	Majority,	0.00025412
3,	Majority,	0.000290423
4,	Majority,	0.000217817
5,	Majority,	0.000363029
6,	Majority,	0.000363029
7,	Majority,	0.000108909
8,	Majority,	0.000217817
9,	Majority,	0.000363029
10,	Majority,	0.000326726
11,	Majority,	0.000145212
12,	Majority,	0.000363029
13,	Majority,	0.000726058
14,	Majority,	0.001234299
15,	Majority,	0.002650113
16,	Majority,	0.003702897
17,	Majority,	0.005372831
18,	Majority,	0.008022943
19,	Majority,	0.007986641
20,	Majority,	0.008966819
21,	Majority,	0.011072388
22,	Majority,	0.011907355
23,	Majority,	0.011108691
24,	Majority,	0.012234081
25,	Majority,	0.012379293
26,	Majority,	0.013032745
27,	Majority,	0.012488202
28,	Majority,	0.013105351
29,	Majority,	0.012923836
30,	Majority,	0.013250563
31,	Majority,	0.013577289
32,	Majority,	0.012669716
33,	Majority,	0.01459377
34,	Majority,	0.013686198
35,	Majority,	0.012706019
36,	Majority,	0.012560807
37,	Majority,	0.011943658
38,	Majority,	0.01259711
39,	Majority,	0.011907355
40,	Majority,	0.013395774
41,	Majority,	0.010854571
42,	Majority,	0.012161475
43,	Majority,	0.010818268
44,	Majority,	0.010455239
45,	Majority,	0.010963479
46,	Majority,	0.009583969
47,	Majority,	0.010128512
48,	Majority,	0.008494881
49,	Majority,	0.009620272
50,	Majority,	0.008785305
51,	Majority,	0.008168155
52,	Majority,	0.007623611
53,	Majority,	0.006570827
54,	Majority,	0.006679736
55,	Majority,	0.006207798
56,	Majority,	0.006207798
57,	Majority,	0.005046105
58,	Majority,	0.005844769
59,	Majority,	0.004828287
60,	Majority,	0.003630291
61,	Majority,	0.003666594
62,	Majority,	0.003557685
63,	Majority,	0.002359689
64,	Majority,	0.002468598
65,	Majority,	0.002287083
66,	Majority,	0.002250781
67,	Majority,	0.001524722
68,	Majority,	0.001815146
69,	Majority,	0.001452116
70,	Majority,	0.001306905
71,	Majority,	0.00112539
72,	Majority,	0.001161693
73,	Majority,	0.000980179
74,	Majority,	0.000980179
75,	Majority,	0.000943876
76,	Majority,	0.001052784
77,	Majority,	0.00087127
78,	Majority,	0.000834967
79,	Majority,	0.000363029
80,	Majority,	0.000326726
81,	Majority,	0.000580847
82,	Majority,	0.000181515
83,	Majority,	0.000435635
84,	Majority,	0.000471938
85,	Majority,	0.000181515
86,	Majority,	0.000290423
87,	Majority,	0.000435635
88,	Majority,	0.000181515
89,	Majority,	0.000181515
90,	Majority,	0.000108909
91,	Majority,	0.000181515
92,	Majority,	7.26058E-05
93,	Majority,	0
94,	Majority,	0
95,	Majority,	3.63029E-05
96,	Majority,	0
97,	Majority,	3.63029E-05
98,	Majority,	0
99,	Majority,	0
100,	Majority,	0
0,	Minority,	0
1,	Minority,	0.000798664
2,	Minority,	0.000508241
3,	Minority,	0.000399332
4,	Minority,	0.000435635
5,	Minority,	0.000363029
6,	Minority,	0.000399332
7,	Minority,	0.000617149
8,	Minority,	0.00025412
9,	Minority,	0.000363029
10,	Minority,	0.000471938
11,	Minority,	0.000617149
12,	Minority,	0.000762361
13,	Minority,	0.001089087
14,	Minority,	0.002250781
15,	Minority,	0.005118711
16,	Minority,	0.007006462
17,	Minority,	0.009801786
18,	Minority,	0.0149568
19,	Minority,	0.016481522
20,	Minority,	0.017134974
21,	Minority,	0.019712481
22,	Minority,	0.021491324
23,	Minority,	0.019712481
24,	Minority,	0.019131634
25,	Minority,	0.020148116
26,	Minority,	0.017715821
27,	Minority,	0.018405576
28,	Minority,	0.016118493
29,	Minority,	0.016771945
30,	Minority,	0.015501343
31,	Minority,	0.01546504
32,	Minority,	0.014775285
33,	Minority,	0.014448559
34,	Minority,	0.013867712
35,	Minority,	0.013177957
36,	Minority,	0.012488202
37,	Minority,	0.011689538
38,	Minority,	0.011544326
39,	Minority,	0.010055906
40,	Minority,	0.009765483
41,	Minority,	0.008821607
42,	Minority,	0.008640093
43,	Minority,	0.00834967
44,	Minority,	0.007079068
45,	Minority,	0.007405794
46,	Minority,	0.005881072
47,	Minority,	0.006389312
48,	Minority,	0.006207798
49,	Minority,	0.005445437
50,	Minority,	0.00548174
51,	Minority,	0.004755681
52,	Minority,	0.004065926
53,	Minority,	0.003049445
54,	Minority,	0.003666594
55,	Minority,	0.003267262
56,	Minority,	0.00286793
57,	Minority,	0.003267262
58,	Minority,	0.002178175
59,	Minority,	0.00199666
60,	Minority,	0.001815146
61,	Minority,	0.001669934
62,	Minority,	0.001815146
63,	Minority,	0.001415814
64,	Minority,	0.000653452
65,	Minority,	0.001089087
66,	Minority,	0.000943876
67,	Minority,	0.000907573
68,	Minority,	0.001016482
69,	Minority,	0.000653452
70,	Minority,	0.000435635
71,	Minority,	0.000544544
72,	Minority,	0.000399332
73,	Minority,	0.000326726
74,	Minority,	0.000580847
75,	Minority,	0.000290423
76,	Minority,	0.000290423
77,	Minority,	0.000181515
78,	Minority,	0.000326726
79,	Minority,	0.00025412
80,	Minority,	0.000217817
81,	Minority,	3.63029E-05
82,	Minority,	0.000145212
83,	Minority,	0.000145212
84,	Minority,	0.000217817
85,	Minority,	3.63029E-05
86,	Minority,	0.000181515
87,	Minority,	0.000108909
88,	Minority,	0.000108909
89,	Minority,	0
90,	Minority,	0
91,	Minority,	3.63029E-05
92,	Minority,	3.63029E-05
93,	Minority,	3.63029E-05
94,	Minority,	0
95,	Minority,	0
96,	Minority,	0
97,	Minority,	0
98,	Minority,	0
99,	Minority,	0
100,	Minority,	0
